
aftskirt.OUT (severely abridged) Prebuckled state

 PREBUCKLING STRESS RESULTANTS IN SHELL SEGMENT NO.  1
 FOR CIRCUMFERENTIAL ANGLE, THETAS =  0.0000E+00
           PREBUCKLING MEMBRANE STATE    PREBUCKLING MEMBRANE STATE
              FOR LOAD SYSTEM "A"          FOR LOAD SYSTEM "B"
               (EIGENPARAMETER)                 (CONSTANT)
 STATION   MERIDIONAL   CIRCUMFERENTIAL  MERIDIONAL   CIRCUMFERENTIAL
   NO.     RESULTANT      RESULTANT      RESULTANT    RESULTANT
    39  -2.936443E+02  -3.814520E-05   1.045996E+03   1.373228E-04
    40  -2.963354E+02  -3.812894E-06   1.055582E+03  -6.425430E-09
    41  -2.990762E+02  -3.812860E-06   1.065345E+03  -1.526533E-05
    42  -3.018682E+02  -3.812825E-06   1.075290E+03   3.051091E-05
    43  -3.047128E+02   1.907058E-09   1.085423E+03   1.525199E-05
    44  -3.076115E+02   1.943339E-09   1.095749E+03   1.525187E-05
    45  -3.105659E+02   1.981145E-09   1.106273E+03   1.525173E-05
    46  -3.135776E+02   2.020391E-09   1.117001E+03   1.525159E-05
    47  -3.166483E+02   2.060006E-09   1.127939E+03  -1.526613E-05
    48  -3.197797E+02  -7.627295E-06   1.139093E+03  -1.526627E-05
    49  -3.229736E+02   2.143039E-09   1.150471E+03  -7.633050E-09
    50  -3.262321E+02   2.186071E-09   1.162077E+03  -7.787047E-09
    51  -3.295569E+02   2.230778E-09   1.173921E+03  -7.947206E-09
    52  -3.329502E+02   2.276766E-09   1.186008E+03  -8.110920E-09
    53  -3.364141E+02   2.324831E-09   1.198347E+03  -8.280512E-09
    54  -3.399508E+02   2.373735E-09   1.210945E+03   1.525033E-05
    55  -3.435627E+02   2.424854E-09   1.223811E+03  -3.052621E-05
    56  -3.472522E+02  -7.626918E-06   1.236954E+03  -8.823180E-09
    57  -3.510218E+02   2.531230E-09   1.250381E+03  -9.014922E-09
    58  -3.548741E+02   7.631981E-06   1.264104E+03  -9.215427E-09
    59  -3.588120E+02   2.644974E-09   1.278131E+03  -9.421912E-09
    60  -3.628381E+02  -7.626689E-06   1.292472E+03   3.050794E-05
    61  -3.669557E+02  -1.525602E-05   1.307140E+03   6.102530E-05
    62  -3.711678E+02  -1.068087E-04   1.322144E+03   3.662009E-04
    63  -3.754776E+02   1.068144E-04   1.337496E+03  -3.967387E-04
    64  -3.798889E+02   5.233767E-03   1.353209E+03  -1.867677E-02
    65  -3.833795E+02   2.684021E-02   1.365643E+03  -9.561156E-02
    66  -3.848626E+02  -7.720949E-03   1.370926E+03   2.752686E-02
    67  -3.853212E+02  -2.440643E-02   1.372560E+03   8.694459E-02
    68  -3.857809E+02  -4.614258E-02   1.374197E+03   1.643677E-01
    69  -3.862416E+02  -7.363892E-02   1.375838E+03   2.622986E-01
    70  -3.867034E+02  -1.074142E-01   1.377484E+03   3.826294E-01
    71  -3.871663E+02  -1.477051E-01   1.379132E+03   5.261536E-01
    72  -3.876302E+02  -1.942825E-01   1.380785E+03   6.920471E-01
    73  -3.880951E+02  -2.463608E-01   1.382441E+03   8.775939E-01
    74  -3.885612E+02  -3.022766E-01   1.384101E+03   1.076782E+00
    75  -3.890283E+02  -3.594207E-01   1.385765E+03   1.280334E+00
    76  -3.894964E+02  -4.138565E-01   1.387432E+03   1.474182E+00
    77  -3.899656E+02  -4.601593E-01   1.389104E+03   1.639130E+00
    78  -3.904359E+02  -4.911193E-01   1.390779E+03   1.749450E+00
    79  -3.909073E+02  -4.976043E-01   1.392458E+03   1.772522E+00
    80  -3.913799E+02  -4.683379E-01   1.394141E+03   1.668274E+00
    81  -3.918536E+02  -3.898772E-01   1.395829E+03   1.388763E+00
    82  -3.923287E+02  -2.467345E-01   1.397521E+03   8.789059E-01
    83  -3.928051E+02  -2.165975E-02   1.399218E+03   7.717860E-02
    84  -3.932830E+02   3.037415E-01   1.400921E+03  -1.081971E+00
    85  -3.937626E+02   7.481309E-01   1.402629E+03  -2.664917E+00
    86  -3.942439E+02   1.328979E+00   1.404344E+03  -4.733978E+00
    87  -3.947273E+02   2.060730E+00   1.406065E+03  -7.340576E+00
    88  -3.952127E+02   2.952301E+00   1.407795E+03  -1.051642E+01
    89  -3.957006E+02   4.003845E+00   1.409533E+03  -1.426218E+01
    90  -3.961911E+02   5.202964E+00   1.411280E+03  -1.853357E+01
    91  -3.966843E+02   6.519958E+00   1.413036E+03  -2.322488E+01
    92  -3.971803E+02   7.902618E+00   1.414804E+03  -2.815005E+01
    93  -3.976793E+02   9.270248E+00   1.416581E+03  -3.302176E+01
    94  -3.981811E+02   1.050748E+01   1.418368E+03  -3.742886E+01
    95  -3.986855E+02   1.145797E+01   1.420165E+03  -4.081463E+01
    96  -3.991920E+02   1.191865E+01   1.421969E+03  -4.245565E+01
    97  -3.996936E+02   1.164518E+01   1.423756E+03  -4.148153E+01
    98  -4.000685E+02   1.079917E+01   1.425092E+03  -3.846792E+01
    99  -4.002083E+02   1.029038E+01   1.425589E+03  -3.665553E+01

