"load factor PA vs. Integrated Stress Nx(320,1)
   0.730798E+00   -0.167780E+02
   0.735701E+00   -0.109133E+02
   0.743411E+00   -0.159301E+01
   0.753768E+00    0.110860E+02
   0.767526E+00    0.281715E+02
   0.781349E+00    0.456194E+02
   0.799341E+00    0.686797E+02
   0.822571E+00    0.990136E+02
   0.852371E+00    0.138707E+03
   0.890322E+00    0.190349E+03
   0.938366E+00    0.257179E+03
   0.998910E+00    0.343380E+03
   0.102833E+01    0.385999E+03
   0.106554E+01    0.440682E+03
   0.110693E+01    0.502811E+03
   0.113302E+01    0.542483E+03
   0.116586E+01    0.593302E+03
   0.118620E+01    0.625336E+03
   0.121035E+01    0.664271E+03


"load factor PA vs. Integrated Stress Nx(320,5)
       0        0
   0.100000E+00   -0.114865E+03
   0.200000E+00   -0.160578E+03
   0.348830E+00   -0.225478E+03
   0.440445E+00   -0.256988E+03
   0.503401E+00   -0.256783E+03
   0.536940E+00   -0.241615E+03
   0.552750E+00   -0.232633E+03
   0.565637E+00   -0.222907E+03
   0.575333E+00   -0.213084E+03
   0.585474E+00   -0.202302E+03
   0.595807E+00   -0.191152E+03
   0.607741E+00   -0.178041E+03
   0.623199E+00   -0.160683E+03
   0.645971E+00   -0.134234E+03
   0.674181E+00   -0.996949E+02
   0.707790E+00   -0.556263E+02
   0.721981E+00   -0.362740E+02
   0.724901E+00   -0.332371E+02
   0.721604E+00   -0.385446E+02
   0.720243E+00   -0.410829E+02
   0.724002E+00   -0.366575E+02
   0.725819E+00   -0.343175E+02
   0.727725E+00   -0.318434E+02
   0.730798E+00   -0.278196E+02
   0.735701E+00   -0.213052E+02
   0.743411E+00   -0.108981E+02
   0.753768E+00    0.333822E+01
   0.767526E+00    0.226496E+02
   0.781349E+00    0.424478E+02
   0.799341E+00    0.687605E+02
   0.822571E+00    0.103512E+03
   0.852371E+00    0.149169E+03
   0.890322E+00    0.208698E+03
   0.938366E+00    0.285765E+03
   0.998910E+00    0.385044E+03
   0.102833E+01    0.433932E+03
   0.106554E+01    0.495820E+03
   0.110693E+01    0.564258E+03
   0.113302E+01    0.607224E+03
   0.116586E+01    0.660582E+03
   0.118620E+01    0.692776E+03
   0.121035E+01    0.728748E+03


"load factor PA vs. Integrated Stress Nx(320,6)
       0        0
   0.100000E+00   -0.122465E+03
